Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3K8BeABgLXZ3JHhdM3rZBx,"No Puedo Vivir Sin Ti","Por Mi y por Todos Mis Compañeros","El Canto Del Loco",2009-11-24,214960,56,false,nwy2xzqw3fu5i7s58g14g5uw6,2025-09-07T08:19:13Z,"","Columbia (BMG Spain)",0.666,0.834,0,-3.314,1,0.0318,0.0246,0,0.208,0.61,129.982,4
spotify:track:1sMgCr1RH0HfAazVZt9xmZ,"El Secreto de las Tortugas","Es un Secreto...No Se Lo Digas a Nadie","Maldita Nerea",2009-05-07,247840,62,false,nwy2xzqw3fu5i7s58g14g5uw6,2025-09-07T08:19:13Z,"","Ariola",0.576,0.756,1,-6.554,1,0.0486,0.00726,0.00071,0.343,0.709,169.985,4
spotify:track:42VgiRyg0YjtRVLiPFNxPJ,"Zapatillas","Zapatillas","El Canto Del Loco",2005,172640,63,false,nwy2xzqw3fu5i7s58g14g5uw6,2025-09-07T08:19:13Z,"","Ariola",0.428,0.956,8,-2.382,0,0.178,0.0281,0,0.58,0.686,198.076,4
spotify:track:1VB4sadHjFcFklHcZuoROi,"Como Camarón","Estopa","Estopa",1999-10-18,202026,67,false,nwy2xzqw3fu5i7s58g14g5uw6,2025-09-07T08:19:13Z,"flamenco,flamenco pop","Ariola",0.499,0.721,9,-9.615,0,0.0564,0.216,0.00000974,0.295,0.843,140.4,4
spotify:track:3hlWUNjAlbZ6nOjAbrivBv,"Princesas","Animales","Pereza",2005-04-07,217000,64,false,nwy2xzqw3fu5i7s58g14g5uw6,2025-09-07T08:19:13Z,"","RCA Anxious",0.683,0.846,7,-3.551,1,0.0422,0.0634,0,0.346,0.706,131.884,4
spotify:track:4waqcUQWdj0yH26STWl2Rq,"Rosas","Lo Que Te Conte Mientras Te Hacias La Dormida","La Oreja de Van Gogh",2003,236506,80,false,nwy2xzqw3fu5i7s58g14g5uw6,2025-09-07T08:19:13Z,"pop latino","Columbia",0.783,0.685,9,-5.008,1,0.0271,0.627,0.00000349,0.108,0.54,107.01,4
spotify:track:4QBrx05HrLnohYaS1cPGHO,"Volvera","Zapatillas","El Canto Del Loco",2005,229746,61,false,nwy2xzqw3fu5i7s58g14g5uw6,2025-09-07T08:19:13Z,"","Ariola",0.568,0.892,1,-3.091,1,0.0464,0.0111,0,0.379,0.783,126.02,4
spotify:track:0XJAzR3E4lq5aNGGDh8HUT,"Con La Luna Llena","Con La Luna Llena","Melendi;Manuel Carrasco",2023-09-08,214914,52,false,nwy2xzqw3fu5i7s58g14g5uw6,2025-09-07T08:19:13Z,"flamenco,flamenco pop","Sony Music Entertainment",0.707,0.828,1,-4.248,0,0.172,0.676,0,0.0932,0.668,157.786,4
spotify:track:5OaqffbeQyVVqtnA71Ci7K,"Por la Raja de Tu Falda","Estopa","Estopa",1999-10-18,202826,65,false,nwy2xzqw3fu5i7s58g14g5uw6,2025-09-07T08:19:13Z,"flamenco,flamenco pop","Ariola",0.759,0.722,9,-9.906,0,0.0765,0.323,0,0.719,0.928,97.518,4
spotify:track:7cC1xYRITIkGKAGCSyqCAv,"Son de Amores","Andy & Lucas","Andy & Lucas",2004-04-15,234813,15,false,nwy2xzqw3fu5i7s58g14g5uw6,2025-09-07T08:19:13Z,"flamenco,flamenco pop","Ariola",0.686,0.849,2,-5.365,0,0.158,0.466,0,0.666,0.712,81.94,4
spotify:track:3ri9fLG89OdSpjxheYxU7S,"Me Muero","El Mundo Se Equivoca","La Quinta Estacion",2006-08-15,189560,74,false,nwy2xzqw3fu5i7s58g14g5uw6,2025-09-07T08:19:13Z,"pop latino","Ariola",0.424,0.74,5,-3.243,1,0.0347,0.171,0,0.273,0.585,169.914,4
spotify:track:1uFW6czrHk5PsK3s6gOI7C,"Se Fue","Cosa Nuestra","Rauw Alejandro;Laura Pausini",2024-11-15,240179,68,false,nwy2xzqw3fu5i7s58g14g5uw6,2025-09-07T08:19:13Z,"reggaetón,urbano latino,trap latino,latina,pop latino","Sony Music Latin/Duars Entertainment",0.689,0.743,8,-2.817,1,0.0328,0.0694,0,0.0966,0.138,119.957,4
spotify:track:0quM3iWAOKw9OGIMBsppSC,"SI ELLA SUPIERA","Nuestro Mundo","India Martinez;Melendi",2022-12-02,234973,60,false,nwy2xzqw3fu5i7s58g14g5uw6,2025-09-07T08:19:13Z,"flamenco,flamenco pop","Sony Music Entertainment",0.728,0.605,7,-6.406,1,0.0714,0.336,0,0.131,0.697,138.876,4
spotify:track:6z98CyBiVapgBCecH98y4d,"El Polvo de los Días Raros","El Polvo de los Días Raros","Leiva",2025-02-07,247878,48,false,nwy2xzqw3fu5i7s58g14g5uw6,2025-09-07T08:19:13Z,"","Sony Music Entertainment",0.284,0.651,11,-7.884,1,0.0374,0.00391,0.017,0.3,0.414,169.953,4
spotify:track:1TtwCkFbGv89XmuUNmoINt,"Puede Ser (with Amaia Montero)","A Contracorriente","El Canto Del Loco;Amaia Montero",2002-03-01,181026,55,false,nwy2xzqw3fu5i7s58g14g5uw6,2025-09-07T08:19:13Z,"","Ariola",0.411,0.591,11,-4.673,1,0.0347,0.398,0,0.119,0.344,188.376,4
spotify:track:4l7qXzZrZnr2RUgSVSKtnD,"Carpe Diem","El Último Día de Nuestras Vidas","Dani Martín",2024-11-29,240016,57,false,nwy2xzqw3fu5i7s58g14g5uw6,2025-09-07T08:19:13Z,"","Sony Music Entertainment",0.615,0.539,7,-5.203,1,0.0587,0.0639,0,0.111,0.447,142.005,4
spotify:track:5xKUXB7fsIEpDYc6mBfSwT,"Hoy no me siento bien","Hoy no me siento bien","Alejandro Sanz;Grupo Frontera",2025-01-24,153709,68,false,nwy2xzqw3fu5i7s58g14g5uw6,2025-09-07T08:19:13Z,"pop latino,cumbia norteña,banda,norteño,música mexicana,corrido,corridos tumbados,grupera,tejano,ranchera,corridos bélicos","Sony Music Entertainment",0.684,0.871,11,-4.176,1,0.0699,0.656,0,0.163,0.664,166.024,4
spotify:track:6XY4Zaf0AoE5movPc2FfaZ,"La Salvación","La Salvación","Arde Bogotá;Bunbury",2024-04-10,285480,47,false,nwy2xzqw3fu5i7s58g14g5uw6,2025-09-07T08:19:13Z,"indie,rock en español,rock latino,rock mexicano","Sony Music Entertainment",0.132,0.762,0,-5.372,1,0.0766,0.0129,0.0000817,0.135,0.23,201.326,3
spotify:track:5zyxGztIuOp27VhkVf1hMZ,"Dolce Vita","Dolce Vita","Amaral",2025-02-01,215433,35,false,nwy2xzqw3fu5i7s58g14g5uw6,2025-09-07T08:19:13Z,"","Sony Music Entertainment",0.514,0.831,0,-5.147,1,0.0349,0.0032,0.00000139,0.228,0.488,126.959,4
spotify:track:51VLqRIxEjfT6guWSxEElY,"Pop","Pop","Vicco",2023-09-08,149710,45,false,nwy2xzqw3fu5i7s58g14g5uw6,2025-09-07T08:19:13Z,"","Sony Music Entertainment",0.895,0.721,9,-6.296,1,0.0423,0.0908,0.00000246,0.105,0.836,138.006,4
spotify:track:7bM39j41perIVseatvugg3,"PLAN DE HOY [QUIERO VERTE]","PLAN DE HOY [QUIERO VERTE]","Abraham Mateo",2025-03-27,191551,50,false,nwy2xzqw3fu5i7s58g14g5uw6,2025-09-07T08:19:13Z,"","Sony Music Latin",0.577,0.775,2,-1.585,1,0.0357,0.0147,0,0.384,0.529,111.942,4
spotify:track:27AycGPhBPGCc6YnTZTaSh,"HOY TENGO GANAS DE TI","HOY TENGO GANAS DE TI","Abraham Mateo",2024-08-22,170672,50,false,nwy2xzqw3fu5i7s58g14g5uw6,2025-09-07T08:19:13Z,"","Sony Music Latin",0.32,0.62,4,-5.228,0,0.04,0.231,0,0.095,0.415,172.083,4
spotify:track:5sKdpvvNyRJifUmYLNiYys,"Viento de Cara","Viento de Cara","Supersubmarina",2014-09-22,257106,56,false,nwy2xzqw3fu5i7s58g14g5uw6,2025-09-07T08:19:13Z,"indie","Sony Music Entertainment",0.522,0.715,9,-4.831,1,0.0342,0.0105,0.000827,0.311,0.316,129.999,4
spotify:track:3CmSv76KDKsvtiyrdgHZHH,"La Razón","La Razón","Ana Mena;GALE",2024-05-03,162906,54,false,nwy2xzqw3fu5i7s58g14g5uw6,2025-09-07T08:19:13Z,"música alternativa latina","Sony Music Entertainment",0.733,0.637,11,-7.41,0,0.0699,0.0614,0.0000048,0.141,0.837,122.871,4
spotify:track:4bPxqFfAt9EaFqdIDTxczw,"Me Acuerdo De Ti","Insomnio","Abraham Mateo",2024-04-04,146333,42,false,nwy2xzqw3fu5i7s58g14g5uw6,2025-09-07T08:19:13Z,"","Sony Music Entertainment",0.738,0.871,1,-4.605,1,0.0483,0.0023,0,0.313,0.746,130.023,4
spotify:track:6o8AfVju660AZb5XL5rzzP,"Futuros amantes","Futuros amantes","Guitarricadelafuente",2025-03-28,164000,41,false,nwy2xzqw3fu5i7s58g14g5uw6,2025-09-07T08:19:13Z,"","Sony Music Entertainment",0.569,0.435,11,-7.74,1,0.034,0.586,0,0.236,0.549,75.117,4
spotify:track:3MTzCXM4r6yTOLhiuIaRfh,"Bailarina","Insomnio","Abraham Mateo;Danny Ocean",2024-04-04,185546,57,false,nwy2xzqw3fu5i7s58g14g5uw6,2025-09-07T08:19:13Z,"reggaetón","Sony Music Entertainment",0.71,0.586,4,-6.555,0,0.053,0.0135,0.00157,0.457,0.299,128.028,4
spotify:track:1RG4xMoRobbuqGYHaF4nRp,"Tormenta Perfecta","Tormenta Perfecta","Amaia Montero",2014-12-31,237002,34,false,nwy2xzqw3fu5i7s58g14g5uw6,2025-09-07T08:19:13Z,"","Ariola",0.511,0.531,2,-5.375,1,0.0269,0.00689,0,0.358,0.225,84.029,3
spotify:track:7CsOowK8aWlxgjuZLW7pXA,"EL PANTALON - RUMBAS","LAGRIMAS DE UN MALEANTE","Omar Montes;Lola Indigo;Las Chuches",2024-05-30,193067,54,false,nwy2xzqw3fu5i7s58g14g5uw6,2025-09-07T08:19:13Z,"flamenco,flamenco urbano,flamenco pop","Sony Music Latin",0.739,0.875,8,-5.247,1,0.31,0.382,0.0000771,0.206,0.775,120.05,4
spotify:track:26V1bLUk0SBYkLEwl4caPR,"Clavaito","Clavaito","Chanel;Abraham Mateo",2023-04-27,162734,61,false,nwy2xzqw3fu5i7s58g14g5uw6,2025-09-07T08:19:13Z,"bachata","Sony Music Entertainment",0.863,0.664,3,-3.902,0,0.0666,0.0427,0,0.0501,0.701,133.028,4
spotify:track:6KHxe3Yj8W8oq3zviUvJRe,"Madrid City","Madrid City","Ana Mena",2023-09-29,172727,64,false,nwy2xzqw3fu5i7s58g14g5uw6,2025-09-07T08:19:13Z,"","Sony Music Entertainment",0.73,0.87,1,-3.718,0,0.0561,0.0272,0.0000029,0.45,0.184,132.011,4
spotify:track:7MKO7rUZzjw8p87zdZDgqa,"Besos","Zapatillas","El Canto Del Loco",2005,145826,60,false,nwy2xzqw3fu5i7s58g14g5uw6,2025-09-07T08:19:13Z,"","Ariola",0.576,0.909,10,-3.306,1,0.0523,0.00679,0.00000442,0.134,0.544,104.971,4
spotify:track:1b9sYsa4aFiBv7mqOKvwsM,"Nunca Volverás","Nunca Volverás","Vicco",2023-09-22,171440,34,false,nwy2xzqw3fu5i7s58g14g5uw6,2025-09-07T08:19:13Z,"","Sony Music Entertainment",0.617,0.668,11,-8.144,0,0.0729,0.414,0.000802,0.112,0.392,171.86,4
spotify:track:00MEN35cUoB4rp00iZuiFV,"ENGATUSAO =^.^=","ENGATUSAO =^.^=","Vicco",2024-07-05,148383,33,false,nwy2xzqw3fu5i7s58g14g5uw6,2025-09-07T08:19:13Z,"","Sony Music Entertainment",0.793,0.657,1,-6.201,0,0.0714,0.0515,0.00381,0.0572,0.58,129.958,4
spotify:track:45VlOHY7pEd6IC3plYeKZ3,"BABIECA!","Spanish Leather","Guitarricadelafuente",2025-05-16,166068,62,false,nwy2xzqw3fu5i7s58g14g5uw6,2025-09-07T08:19:13Z,"","Sony Music Entertainment",0.574,0.536,11,-9.222,1,0.108,0.648,0.0000666,0.297,0.396,142.039,4
spotify:track:5MMEQLCzl9GsknyH42xFOX,"Palmeras en el jardín","Palmeras en el jardín","Alejandro Sanz",2024-10-25,180725,58,false,nwy2xzqw3fu5i7s58g14g5uw6,2025-09-07T08:19:13Z,"pop latino","Sony Music Entertainment",0.576,0.429,7,-7.4,1,0.341,0.875,0,0.0982,0.17,133.637,4
spotify:track:6vYVTjrP8Nd6nsdjCrabM5,"El Último Día de Nuestras Vidas","El Último Día de Nuestras Vidas","Dani Martín",2024-10-03,226626,49,false,nwy2xzqw3fu5i7s58g14g5uw6,2025-09-07T08:19:13Z,"","Sony Music Entertainment",0.533,0.743,10,-5.861,1,0.159,0.0056,0.00000571,0.0894,0.518,75.179,4
spotify:track:02FKjeU8CrA2ckppBa5RJg,"Comiendote a Besos","Con Derecho A...","Rozalén",2013-03-12,241986,53,false,nwy2xzqw3fu5i7s58g14g5uw6,2025-09-07T08:19:13Z,"cantautores","Ariola",0.585,0.539,0,-5.105,1,0.039,0.603,0,0.229,0.5,120.095,4
spotify:track:2Y9xXXMWqETUfonJjXP25k,"Tienes Que Saber","Tienes Que Saber","Abraham Mateo;Naiara",2024-07-18,180563,51,false,nwy2xzqw3fu5i7s58g14g5uw6,2025-09-07T08:19:13Z,"","Sony Music Latin",0.745,0.781,0,-4.349,1,0.25,0.0234,0,0.269,0.465,133.009,4
spotify:track:0EpdLuptraYGFZ6J7HNSLc,"LAS 12","LAS 12","Ana Mena;Belinda",2022-06-17,165230,60,false,nwy2xzqw3fu5i7s58g14g5uw6,2025-09-07T08:19:13Z,"pop latino","Epic",0.784,0.814,6,-2.436,1,0.0464,0.0559,0,0.194,0.728,129.96,4
spotify:track:4snJ71Uz5KvX1CW0SaUiZY,"Falsos Recuerdos","Falsos Recuerdos","Abraham Mateo;Omar Montes",2024-01-25,191414,48,false,nwy2xzqw3fu5i7s58g14g5uw6,2025-09-07T08:19:13Z,"flamenco,flamenco urbano,flamenco pop","Sony Music Entertainment",0.703,0.722,0,-3.93,0,0.0379,0.739,0.00000151,0.127,0.616,134.92,4
spotify:track:7cJDcvC6nSbkx4quEn7vTk,"Titiritar","Titiritar","Pol Granch",2024-05-17,181864,36,false,nwy2xzqw3fu5i7s58g14g5uw6,2025-09-07T08:19:13Z,"","Sony Music Entertainment",0.7,0.672,0,-6.995,1,0.05,0.00736,0.00000985,0.143,0.634,140.023,4
spotify:track:3asOJIkC0NT24zR2S20azY,"A carta cabal","La Cantera","Guitarricadelafuente",2022-05-06,269730,35,false,nwy2xzqw3fu5i7s58g14g5uw6,2025-09-07T08:19:13Z,"","Sony Music Entertainment",0.205,0.331,3,-9.225,1,0.0351,0.843,0.403,0.105,0.235,60.774,4
spotify:track:2SiAcexM2p1yX6joESbehd,"LLYLM","LLYLM","ROSALÍA",2023-01-27,174044,63,false,nwy2xzqw3fu5i7s58g14g5uw6,2025-09-07T08:19:13Z,"latina","Columbia",0.555,0.634,6,-5.522,0,0.273,0.129,0.00000232,0.188,0.555,170.228,4
spotify:track:1uUVwLyzKnU8ft18H3QDu9,"solo x ti","Amor Escupido","Pol Granch",2022-10-28,198758,49,false,nwy2xzqw3fu5i7s58g14g5uw6,2025-09-07T08:19:13Z,"","Sony Music Entertainment",0.793,0.636,11,-4.455,0,0.0382,0.28,0.0000176,0.111,0.484,117.985,4
spotify:track:0ALmQwK6LPYk8dkZozCGd9,"No, No Vuelve","No, No Vuelve","Dani Martín",2021-11-11,228760,42,false,nwy2xzqw3fu5i7s58g14g5uw6,2025-09-07T08:19:13Z,"","Sony Music Entertainment",0.573,0.51,7,-5.184,1,0.0284,0.0189,0,0.0911,0.221,148.031,4
spotify:track:60e6OnYOu0h7LLhYXgINma,"La Culpa (feat. Canelita)","La Culpa (feat. Canelita)","C. Tangana;Omar Montes;Daviles de Novelda;Canelita",2022-02-17,188389,34,false,nwy2xzqw3fu5i7s58g14g5uw6,2025-09-07T08:19:13Z,"flamenco,flamenco urbano,flamenco pop","Sony Music Entertainment",0.61,0.871,9,-4.372,0,0.197,0.086,0,0.207,0.677,89.688,4
spotify:track:1MAbXU7OMsOSEH9RoGT5Rs,"La increíble historia entre tú y yo","La increíble historia entre tú y yo","Maldita Nerea",2022-09-16,159947,30,false,nwy2xzqw3fu5i7s58g14g5uw6,2025-09-07T08:19:13Z,"","Sony Music Entertainment",0.501,0.815,7,-5.207,1,0.0814,0.000153,0.00000217,0.0552,0.635,157.913,4
spotify:track:34vh6JPA1veSYpM0hkNCSE,"Gigante","Gigante","Leiva",2025-04-04,252874,59,false,nwy2xzqw3fu5i7s58g14g5uw6,2025-09-07T08:19:13Z,"","Sony Music Entertainment",0.652,0.628,5,-7.37,1,0.0354,0.0305,0.000015,0.0744,0.657,84.996,4
spotify:track:1J9wWlo3oI3HjPnp48L3XL,"TE PIENSO A CADA HORA","TE PIENSO A CADA HORA","Dvicio",2022-02-18,194323,27,false,nwy2xzqw3fu5i7s58g14g5uw6,2025-09-07T08:19:13Z,"","Sony Music Entertainment",0.654,0.689,0,-6.171,0,0.0747,0.0232,0.00000116,0.0922,0.752,145.028,4
spotify:track:1JurgyjeCTcDyZErghSV0y,"Ké Más Nos Da","Estopía","Estopa",2024-03-15,200367,52,false,nwy2xzqw3fu5i7s58g14g5uw6,2025-09-07T08:19:13Z,"flamenco,flamenco pop","Sony Music Entertainment",0.481,0.85,7,-7.093,1,0.0362,0.00911,0.000251,0.128,0.646,98.044,4
spotify:track:20CozgjF6bshBw8cLhN23B,"Nochentera","Nochentera","Vicco",2022-12-19,202184,61,false,nwy2xzqw3fu5i7s58g14g5uw6,2025-09-07T08:19:13Z,"","Sony Music Entertainment",0.802,0.728,8,-6.456,0,0.0533,0.0233,0,0.119,0.782,121.92,4
